VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,trip_time
2,08-01-2015 22:44,08-01-2015 22:47,1,0.5,-73.98828888,40.75917816,1,N,-73.98294067,40.76440811,2,4,0.5,0.5,0,0,5.3,847
2,08-01-2015 22:44,08-01-2015 22:46,2,0.45,-73.95956421,40.76318741,1,N,-73.95576477,40.76735687,1,4,0.5,0.5,1.5,0,6.8,5005
2,08-01-2015 22:44,08-01-2015 22:49,1,0.95,-73.950737,40.68045044,1,N,-73.9670105,40.68418121,1,5.5,0.5,0.5,1.2,0,8,5344865
2,08-01-2015 22:44,08-01-2015 23:11,1,12.86,-73.97473907,40.74197006,1,N,-73.92020416,40.88471603,1,37.5,0.5,0.5,8.09,2.44,49.33,3345469
2,08-01-2015 22:44,08-01-2015 22:54,1,3.77,-73.95676422,40.77106476,1,N,-73.97756195,40.72588348,1,13,0.5,0.5,0,0,14.3,893938
2,08-01-2015 22:44,08-01-2015 23:05,3,4.09,-73.98296356,40.76797104,1,N,-74.00930786,40.71529007,2,17,0.5,0.5,0,0,18.3,36869
2,08-01-2015 22:44,08-01-2015 22:47,1,0.69,-74.00232697,40.71980286,1,N,-74.00722504,40.72699738,1,4.5,0.5,0.5,1,0,6.8,37874352
2,08-01-2015 22:44,08-01-2015 22:58,1,5.2,-73.95903015,40.77171707,1,N,-73.89245605,40.74711609,1,16,0.5,0.5,4.12,0,21.42,459479754
1,08-01-2015 22:44,08-01-2015 23:02,1,3.9,-73.98075104,40.76994324,1,N,-73.99185944,40.72587204,1,15,0.5,0.5,1,0,17.3,84860
2,08-01-2015 22:44,08-01-2015 23:17,1,12.69,-73.78261566,40.64460373,1,N,-73.94749451,40.6733017,2,39,0.5,0.5,0,0,40.3,848
1,08-01-2015 22:44,08-01-2015 22:54,3,2.3,-73.98599243,40.76239395,1,N,-73.96592712,40.79221344,1,10,0.5,0.5,2.25,0,13.55,5006
2,08-01-2015 22:44,08-01-2015 22:56,5,2.3,-74.00769043,40.74068069,1,N,-73.98880768,40.71862411,2,10,0.5,0.5,0,0,11.3,5344866
2,08-01-2015 22:44,08-01-2015 23:00,3,4.51,-73.98181915,40.75812912,1,N,-73.95042419,40.76124954,1,15.5,0.5,0.5,3.2,0,20,3345470
2,08-01-2015 22:44,08-01-2015 22:49,1,0.76,-73.98475647,40.73477173,1,N,-73.97530365,40.73304367,1,5,0.5,0.5,1.1,0,7.4,893939
2,08-01-2015 22:44,08-01-2015 22:52,6,1.58,-73.99910736,40.72998047,1,N,-73.97878265,40.73113632,1,7.5,0.5,0.5,1.6,0,10.4,36870
1,08-01-2015 22:44,08-01-2015 22:55,1,5.2,-74.01273346,40.7022438,1,N,-73.97884369,40.74927521,1,16.5,0.5,0.5,3.55,0,21.35,37874353
1,08-01-2015 22:44,08-01-2015 23:00,1,3.6,-73.98220062,40.76723862,1,N,-73.98875427,40.72712326,1,13,0.5,0.5,2.85,0,17.15,459479755
2,08-01-2015 22:44,08-01-2015 22:49,1,0.97,-73.99769592,40.74123764,1,N,-73.99488068,40.7317009,2,5.5,0.5,0.5,0,0,6.8,84861
2,08-01-2015 22:44,08-01-2015 22:51,1,1.19,-73.98822784,40.74869156,1,N,-73.98061371,40.73685455,1,7,0.5,0.5,1.88,0,10.18,849
1,08-01-2015 22:44,08-01-2015 22:56,1,2.3,-73.99303436,40.75287628,1,N,-73.96379852,40.76277161,2,10.5,0.5,0.5,0,0,11.8,5007
2,08-01-2015 22:44,08-01-2015 22:49,1,0.84,-73.95407867,40.77466965,1,N,-73.94927979,40.78181076,1,5.5,0.5,0.5,1.2,0,8,5344867
1,08-01-2015 22:44,08-01-2015 22:58,1,3.9,-74.0043335,40.72478485,1,N,-73.96177673,40.75786591,1,13,0.5,0.5,2.85,0,17.15,5004
2,08-01-2015 22:44,08-01-2015 22:52,1,1.26,-73.98474121,40.72740555,1,N,-73.99964142,40.73025894,1,6.5,0.5,0.5,1,0,8.8,5344864
2,08-01-2015 22:44,08-01-2015 22:53,1,1.54,-73.99427795,40.75442123,1,N,-73.98204803,40.77206039,2,8,0.5,0.5,0,0,9.3,3345468
1,08-01-2015 22:44,08-01-2015 22:52,1,1.5,-73.97848511,40.74488449,1,N,-73.98402405,40.7292099,2,7.5,0.5,0.5,0,0,8.8,893937
2,08-01-2015 22:44,08-01-2015 22:49,1,0.97,-73.97522736,40.74582291,1,N,-73.9694519,40.75325012,1,5.5,0.5,0.5,1,0,7.8,36868
